 Dist  ;  Az   ;num;type
70.71068;0.78540;  0; air
14.14214;0.78540;  1; air
69.71068;0.78540;  0; air
13.14214;0.78540;  1; air
68.71068;0.78540;  0; air
12.14214;0.78540;  1; air
67.71068;0.78540;  0; air
11.14214;0.78540;  1; air
66.71068;0.78540;  0; air
10.14214;0.78540;  1; air
65.71068;0.78540;  0; air
9.14214;0.78540;  1; air
64.71068;0.78540;  0; air
8.14214;0.78540;  1; air
63.71068;0.78540;  0; air
7.14214;0.78540;  1; air
62.71068;0.78540;  0; air
6.14214;0.78540;  1; air
61.71068;0.78540;  0; air
5.14214;0.78540;  1; air
60.71068;0.78540;  0; air
4.14214;0.78540;  1; air
59.71068;0.78540;  0; air
3.14214;0.78540;  1; air
58.71068;0.78540;  0; air
2.14214;0.78540;  1; air
57.71068;0.78540;  0; air
1.14214;0.78540;  1; air
56.71068;0.78540;  0; air
0.14214;0.78540;  1; air
55.71068;0.78540;  0; air
0.85786;0.78540;  1; air
54.71068;0.78540;  0; air
1.85786;0.78540;  1; air
53.71068;0.78540;  0; air
2.85786;0.78540;  1; air
52.71068;0.78540;  0; air
3.85786;0.78540;  1; air
51.71068;0.78540;  0; air
4.85786;0.78540;  1; air
50.71068;0.78540;  0; air
5.85786;0.78540;  1; air
49.71068;0.78540;  0; air
6.85786;0.78540;  1; air
48.71068;0.78540;  0; air
7.85786;0.78540;  1; air
47.71068;0.78540;  0; air
8.85786;0.78540;  1; air
46.71068;0.78540;  0; air
9.85786;0.78540;  1; air
45.71068;0.78540;  0; air
10.85786;0.78540;  1; air
44.71068;0.78540;  0; air
11.85786;0.78540;  1; air
43.71068;0.78540;  0; air
12.85786;0.78540;  1; air
42.71068;0.78540;  0; air
13.85786;0.78540;  1; air
41.71068;0.78540;  0; air
14.85786;0.78540;  1; air
40.71068;0.78540;  0; air
15.85786;0.78540;  1; air
39.71068;0.78540;  0; air
16.85786;0.78540;  1; air
38.71068;0.78540;  0; air
17.85786;0.78540;  1; air
37.71068;0.78540;  0; air
18.85786;0.78540;  1; air
36.71068;0.78540;  0; air
19.85786;0.78540;  1; air
35.71068;0.78540;  0; air
20.85786;0.78540;  1; air
34.71068;0.78540;  0; air
21.85786;0.78540;  1; air
33.71068;0.78540;  0; air
22.85786;0.78540;  1; air
32.71068;0.78540;  0; air
23.85786;0.78540;  1; air
31.71068;0.78540;  0; air
24.85786;0.78540;  1; air
30.71068;0.78540;  0; air
25.85786;0.78540;  1; air
29.71068;0.78540;  0; air
26.85786;0.78540;  1; air
28.71068;0.78540;  0; air
27.85786;0.78540;  1; air
27.71068;0.78540;  0; air
28.85786;0.78540;  1; air
26.71068;0.78540;  0; air
29.85786;0.78540;  1; air
25.71068;0.78540;  0; air
30.85786;0.78540;  1; air
24.71068;0.78540;  0; air
31.85786;0.78540;  1; air
23.71068;0.78540;  0; air
32.85786;0.78540;  1; air
22.71068;0.78540;  0; air
33.85786;0.78540;  1; air
21.71068;0.78540;  0; air
34.85786;0.78540;  1; air
20.71068;0.78540;  0; air
35.85786;0.78540;  1; air
19.71068;0.78540;  0; air
36.85786;0.78540;  1; air
18.71068;0.78540;  0; air
37.85786;0.78540;  1; air
17.71068;0.78540;  0; air
38.85786;0.78540;  1; air
16.71068;0.78540;  0; air
39.85786;0.78540;  1; air
15.71068;0.78540;  0; air
40.85786;0.78540;  1; air
14.71068;0.78540;  0; air
41.85786;0.78540;  1; air
13.71068;0.78540;  0; air
42.85786;0.78540;  1; air
12.71068;0.78540;  0; air
43.85786;0.78540;  1; air
11.71068;0.78540;  0; air
44.85786;0.78540;  1; air
10.71068;0.78540;  0; air
45.85786;0.78540;  1; air
9.71068;0.78540;  0; air
46.85786;0.78540;  1; air
8.71068;0.78540;  0; air
47.85786;0.78540;  1; air
7.71068;0.78540;  0; air
48.85786;0.78540;  1; air
6.71068;0.78540;  0; air
49.85786;0.78540;  1; air
5.71068;0.78540;  0; air
50.85786;0.78540;  1; air
4.71068;0.78540;  0; air
51.85786;0.78540;  1; air
3.71068;0.78540;  0; air
52.85786;0.78540;  1; air
2.71068;0.78540;  0; air
53.85786;0.78540;  1; air
1.71068;0.78540;  0; air
54.85786;0.78540;  1; air
0.71068;0.78540;  0; air
55.85786;0.78540;  1; air
0.28932;0.78540;  0; air
56.85786;0.78540;  1; air
1.28932;0.78540;  0; air
57.85786;0.78540;  1; air
2.28932;0.78540;  0; air
58.85786;0.78540;  1; air
3.28932;0.78540;  0; air
59.85786;0.78540;  1; air
4.28932;0.78540;  0; air
60.85786;0.78540;  1; air
5.28932;0.78540;  0; air
61.85786;0.78540;  1; air
6.28932;0.78540;  0; air
62.85786;0.78540;  1; air
7.28932;0.78540;  0; air
63.85786;0.78540;  1; air
8.28932;0.78540;  0; air
64.85786;0.78540;  1; air
9.28932;0.78540;  0; air
65.85786;0.78540;  1; air
10.28932;0.78540;  0; air
66.85786;0.78540;  1; air
11.28932;0.78540;  0; air
67.85786;0.78540;  1; air
12.28932;0.78540;  0; air
68.85786;0.78540;  1; air
13.28932;0.78540;  0; air
69.85786;0.78540;  1; air
14.28932;0.78540;  0; air
70.85786;0.78540;  1; air
15.28932;0.78540;  0; air
71.85786;0.78540;  1; air
16.28932;0.78540;  0; air
72.85786;0.78540;  1; air
17.28932;0.78540;  0; air
73.85786;0.78540;  1; air
18.28932;0.78540;  0; air
74.85786;0.78540;  1; air
19.28932;0.78540;  0; air
75.85786;0.78540;  1; air
20.28932;0.78540;  0; air
76.85786;0.78540;  1; air
21.28932;0.78540;  0; air
77.85786;0.78540;  1; air
22.28932;0.78540;  0; air
78.85786;0.78540;  1; air
23.28932;0.78540;  0; air
79.85786;0.78540;  1; air
24.28932;0.78540;  0; air
