 Dist  ;  Az   ;num;type
70.71068;0.78540;  0; air
70.71068;0.78540;  1; air
69.71068;0.78540;  0; air
70.20068;0.78540;  1; air
68.71068;0.78540;  0; air
69.68068;0.78540;  1; air
67.71068;0.78540;  0; air
69.15068;0.78540;  1; air
66.71068;0.78540;  0; air
68.61068;0.78540;  1; air
65.71068;0.78540;  0; air
68.06068;0.78540;  1; air
64.71068;0.78540;  0; air
67.50068;0.78540;  1; air
63.71068;0.78540;  0; air
66.93068;0.78540;  1; air
62.71068;0.78540;  0; air
66.35068;0.78540;  1; air
61.71068;0.78540;  0; air
65.76068;0.78540;  1; air
60.71068;0.78540;  0; air
65.16068;0.78540;  1; air
59.71068;0.78540;  0; air
64.55068;0.78540;  1; air
58.71068;0.78540;  0; air
63.93068;0.78540;  1; air
57.71068;0.78540;  0; air
63.30068;0.78540;  1; air
56.71068;0.78540;  0; air
62.66068;0.78540;  1; air
55.71068;0.78540;  0; air
62.01068;0.78540;  1; air
54.71068;0.78540;  0; air
61.35068;0.78540;  1; air
53.71068;0.78540;  0; air
60.68068;0.78540;  1; air
52.71068;0.78540;  0; air
60.00068;0.78540;  1; air
51.71068;0.78540;  0; air
59.31068;0.78540;  1; air
50.71068;0.78540;  0; air
58.61068;0.78540;  1; air
49.71068;0.78540;  0; air
57.90068;0.78540;  1; air
48.71068;0.78540;  0; air
57.18068;0.78540;  1; air
47.71068;0.78540;  0; air
56.45068;0.78540;  1; air
46.71068;0.78540;  0; air
55.71068;0.78540;  1; air
45.71068;0.78540;  0; air
54.96068;0.78540;  1; air
44.71068;0.78540;  0; air
54.20068;0.78540;  1; air
43.71068;0.78540;  0; air
53.43068;0.78540;  1; air
42.71068;0.78540;  0; air
52.65068;0.78540;  1; air
41.71068;0.78540;  0; air
51.86068;0.78540;  1; air
40.71068;0.78540;  0; air
51.06068;0.78540;  1; air
39.71068;0.78540;  0; air
50.25068;0.78540;  1; air
38.71068;0.78540;  0; air
49.43068;0.78540;  1; air
37.71068;0.78540;  0; air
48.60068;0.78540;  1; air
36.71068;0.78540;  0; air
